ncaa_id,team,player_id,name,year,hometown,high_school,previous_school,height,position,jersey,url,season,latitude,longitude,city,state,county,country,zip,country_2,source
697,Texas A&M,11463,Ifenna Cos-Okpalla,Sophomore,"Flower Mound, Texas",Marcus,NA,"6'2""",Middle,1,https://www.12thman.com/sports/womens-volleyball/roster/ifenna-cos-okpalla/11463,2023-24,33.026795,-97.119331,Flower Mound,TX,Denton County,US,NA,NA,NA
697,Texas A&M,11473,Ital Lopuyo,Redshirt Freshman,"Omaha, Neb.",Omaha Central,NA,"6'6""",Opposite,2,https://www.12thman.com/sports/womens-volleyball/roster/ital-lopuyo/11473,2023-24,41.262003,-95.933564,Omaha,NE,Douglas County,US,NA,NA,NA
697,Texas A&M,11467,Lexi Guinn,Sophomore,"Frisco, Texas",Frisco,NA,"6'0""",Outside,5,https://www.12thman.com/sports/womens-volleyball/roster/lexi-guinn/11467,2023-24,33.146336,-96.856347,Frisco,TX,Denton County,US,NA,NA,NA
697,Texas A&M,11960,Brooke Jeffrey,Sophomore,"Austin, Texas",Austin,Sacred Heart,"6'1""",Outside,7,https://www.12thman.com/sports/womens-volleyball/roster/brooke-jeffrey/11960,2023-24,30.268335,-97.741382,Austin,TX,Travis County,US,NA,NA,NA
697,Texas A&M,11469,Lauren Hogan,Senior,"Loveland, Ohio",Mount Notre Dame,Syracuse,"5'4""",Libero/Defensive,8,https://www.12thman.com/sports/womens-volleyball/roster/lauren-hogan/11469,2023-24,39.223187,-84.245103,Loveland,OH,Clermont County,US,NA,NA,NA
697,Texas A&M,11472,Logan Lednicky,Sophomore,"Sugar Land, Texas",George Ranch,NA,"6'3""",Opposite,9,https://www.12thman.com/sports/womens-volleyball/roster/logan-lednicky/11472,2023-24,29.620312,-95.605693,Sugar Land,TX,Fort Bend County,US,NA,NA,NA
697,Texas A&M,11958,Margot Manning,Freshman,"Houston, Texas",St. John's School,NA,"5'10""",Setter,10,https://www.12thman.com/sports/womens-volleyball/roster/margot-manning/11958,2023-24,29.813142,-95.309789,Houston,TX,Harris County,US,NA,NA,NA
697,Texas A&M,11476,Ava Underwood,Sophomore,"Fulshear, Texas",Fulshear,NA,"5'7""",Libero/Defensive,12,https://www.12thman.com/sports/womens-volleyball/roster/ava-underwood/11476,2023-24,29.688985,-95.935279,Fulshear,TX,Fort Bend County,US,NA,NA,NA
697,Texas A&M,11959,Bianna Muoneke,Freshman,"Cypress, Texas",Cypress Ranch,NA,"6'0""",Outside,13,https://www.12thman.com/sports/womens-volleyball/roster/bianna-muoneke/11959,2023-24,29.997775,-95.669444,Cypress,TX,Harris County,US,NA,NA,NA
697,Texas A&M,11461,Molly Brown,Redshirt Junior,"Goshen, Ind.",Northridge,Purdue,"6'2""",Middle,14,https://www.12thman.com/sports/womens-volleyball/roster/molly-brown/11461,2023-24,41.584839,-85.858059,Goshen,IN,Elkhart County,US,NA,NA,NA
697,Texas A&M,11474,Caroline Meuth,Graduate Student,"San Antonio, Texas",Winston Churchill,Notre Dame,"5'11""",Outside,16,https://www.12thman.com/sports/womens-volleyball/roster/caroline-meuth/11474,2023-24,29.468413,-98.528889,San Antonio,TX,Bexar County,US,NA,NA,NA
697,Texas A&M,11961,Morgan Perkins,Sophomore,"Rosharon, Texas",Episcopal,Oklahoma,"6'1""",Middle,21,https://www.12thman.com/sports/womens-volleyball/roster/morgan-perkins/11961,2023-24,29.42501,-95.448799,Rosharon,TX,Brazoria County,US,NA,NA,NA
697,Texas A&M,11962,Alayna Pearson,Freshman,"Overland Park, Kan.",Blue Valley Northwest,NA,"5'6""",Libero/Defensive,24,https://www.12thman.com/sports/womens-volleyball/roster/alayna-pearson/11962,2023-24,39.02315,-94.669467,Overland Park,KS,Johnson County,US,NA,NA,NA
