hometown,count
"Aberdeen, Md",1
"Aberdeen, S.d.",2
"Abilene, Texas",2
"Abingdon, Il",1
"Abingdon, Illinois",1
"Abingdon, Md.",2
"Abingdon, Va.",2
"Abington, Mass.",1
"Abington, Pa",3
"Abington, Pa.",1
"Abiquiu, N.m.",1
"Accident, Md.",1
"Accokeek, Md",1
"Ackley, Iowa",1
"Acton, Mass.",1
"Acworth, Ga",1
"Acworth, Ga.",6
"Ada, Mich.",4
"Ada, Minn.",2
"Adams, N.y.",1
"Adams, Ny",1
"Adamstown, Md.",1
"Addison, Ill.",2
"Adelanto, Ca",1
"Adrian, Mich.",1
"Advance, Mo.",1
"Advance, N.c.",1
"Agawam, Mass.",2
"Aibonito, Puerto Rico",1
"Aiea, Hawaii",2
"Aiea, Hi",2
"Aiken, S.c.",1
"Aiken, Sc",2
"Aitkin, Minn.",1
"Ajax, Ontario, Canada",1
"Akron, Oh",4
"Akron, Oh.",1
"Akron, Ohio",1
"Akron,Oh",1
"Alabaster, Ala.",3
"Alabaster, Alabama",1
"Alachua, Fla.",1
"Alameda, Ca",2
"Alameda, Calif.",1
"Alamo, Calif.",2
Albany Ore.,1
"Albany, N.y.",1
"Albany, Or",2
"Albany, Ore.",4
"Albermarle, Nc",1
"Albertville, Minn.",1
"Albertville, Mn",1
"Albuquerque, N.m",2
"Albuquerque, N.m.",23
"Albuquerque, Nm",2
"Aldan, Pa",1
"Alden, Minn.",1
"Aldie, Va.",2
"Aledo, Texas",5
"Aledo, Tx",3
"Alexander, Ar",1
"Alexander, Ark.",1
"Alexander, Illinois",1
"Alexandria, Va",3
"Alexandria, Va.",9
"Algona, Iowa",2
"Algonquin, Ill.",3
"Aliquippa, Pa.",2
"Aliso Viejo, Ca",1
"Aliso Viejo, Calif.",4
"Allen, Texas",6
"Allen, Tx",2
"Allendale, N.j.",1
"Allendale, Nj",1
"Allentown, Pa.",6
"Alliance, Ne",1
"Alliance, Neb.",1
"Alliance, Ohio",4
"Allison Park, Pa.",1
"Alma, Kansas",1
"Almond, Wis.",1
"Alpharetta, Ga",1
"Alpharetta, Ga.",7
"Alpine, Texas",1
"Alpine, Utah",4
"Alsip, Ill.",1
"Altamonte Springs, Fla.",2
"Alto, Mich.",1
"Alton, Ill.",2
"Alton, N.h.",1
"Altoona, Ia",1
"Altoona, Iowa",1
"Altoona, Pa",2
"Altoona, Pa.",2
"Alvin, Texas",2
"Amarillo, Texas",16
"Amarillo, Tx",1
"Amelia, Ohio",1
"American Canyon, Calif.",1
"Ames, Ia",2
"Ames, Iowa",4
"Amherst, N.h.",1
"Amherst, Oh",2
"Amherst, Va.",1
"Amston, Conn.",1
"Anaheim, Calif.",6
"Ancaster, Ontario, Canada",1
"Anchorage, Ak",3
"Anchorage, Alaska",5
"Anderson, S.c.",5
"Anderson, Sc",4
"Anderson, South Carolina",1
"Andover, Ma",1
"Andover, Mass.",2
"Andover, Minn.",1
"Andover, Mn",1
"Andrews, Texas",1
"Angusville, Manitoba, Canada",1
"Animas, Nm",1
"Ankeny, Ia",2
"Ankeny, Iowa",7
"Ann Arbor, Mi",2
"Ann Arbor, Mich.",7
"Annandale, Minn.",1
"Annandale, Va",1
"Annapolis, Md.",6
"Anniston, Ala.",1
"Annville, Pa.",1
"Anthem, Ariz.",1
"Antioch, Il",1
"Antioch, Ill.",2
"Antioch, Tenn.",1
"Apex, N.c.",9
"Apex, Nc",2
"Apex, North Carolina",1
"Aplington, Iowa",1
"Apollo Beach, Fla.",1
"Apopka, Fla.",1
"Apopka, Florida",1
"Apple Valley, Ca",1
"Apple Valley, Calif.",1
"Apple Valley, Minn.",1
"Appleton, Wi",2
"Appleton, Wis.",13
"Appleton, Wisc.",3
"Aptos, Calif.",2
"Arcadia, Ca",1
"Arcadia, Calif.",1
"Archbold, Oh.",1
