hometown,count,Latitude,Longitude,Accuracy Score,Accuracy Type,City,State,County,Country
"Aberdeen, Md",1,39.499909,-76.231177,1,place,Aberdeen,MD,Harford County,US
"Aberdeen, S.d.",2,45.476172,-98.410405,1,place,Aberdeen,SD,Brown County,US
"Abilene, Texas",2,32.576489,-99.665323,1,place,Abilene,TX,Jones County,US
"Abingdon, Il",1,40.80448,-90.4018,1,place,Abingdon,IL,Knox County,US
"Abingdon, Illinois",1,40.80448,-90.4018,1,place,Abingdon,IL,Knox County,US
"Abingdon, Md.",2,39.472579,-76.277279,1,place,Abingdon,MD,Harford County,US
"Abingdon, Va.",2,36.740217,-82.026738,1,place,Abingdon,VA,Washington County,US
"Abington, Mass.",1,42.11749,-70.959888,1,place,Abington,MA,Plymouth County,US
"Abington, Pa",3,40.123805,-75.114767,1,place,Abington,PA,Montgomery County,US
"Abington, Pa.",1,40.123805,-75.114767,1,place,Abington,PA,Montgomery County,US
"Abiquiu, N.m.",1,36.219921,-106.262778,1,place,Abiquiu,NM,Rio Arriba County,US
"Accident, Md.",1,39.6287,-79.31976,1,place,Accident,MD,Garrett County,US
"Accokeek, Md",1,38.666071,-76.998396,1,place,Accokeek,MD,Prince George's County,US
"Ackley, Iowa",1,42.55553,-93.05298,1,place,Ackley,IA,Hardin County,US
"Acton, Mass.",1,34.48319,-118.18583,1,place,Acton,CA,Los Angeles County,US
"Acworth, Ga",1,34.034515,-84.707349,1,place,Acworth,GA,Cobb County,US
"Acworth, Ga.",6,34.034515,-84.707349,1,place,Acworth,GA,Cobb County,US
"Ada, Mich.",4,34.748961,-96.685325,1,place,Ada,OK,Pontotoc County,US
"Ada, Minn.",2,0,0,0,,,,,
"Adams, N.y.",1,43.80923,-76.02409,1,place,Adams,NY,Jefferson County,US
"Adams, Ny",1,43.80923,-76.02409,1,place,Adams,NY,Jefferson County,US
"Adamstown, Md.",1,39.291049,-77.455243,1,place,Adamstown,MD,Frederick County,US
"Addison, Ill.",2,41.93106,-88.01305,1,place,Addison,IL,Dupage County,US
"Adelanto, Ca",1,34.58277,-117.40922,1,place,Adelanto,CA,San Bernardino County,US
"Adrian, Mich.",1,41.889943,-84.065892,1,place,Adrian,MI,Lenawee County,US
"Advance, Mo.",1,37.1045,-89.91065,1,place,Advance,MO,Stoddard County,US
"Advance, N.c.",1,35.945381,-80.448686,1,place,Advance,NC,Davie County,US
"Agawam, Mass.",2,42.06954,-72.61481,1,place,Agawam,MA,Hampden County,US
