ncaa_id,team,player_id,name,year,hometown,high_school,previous_school,height,position,jersey,url,season
1036,Concordia Wisconsin,,Brianna Lundt,So.,"Rosendale, Wis.",Laconia,,5-4,DS/L,1,https://www.cuwfalcons.com/sports/wvball/2023-24/bios/lundt_brianna_azzb,2023-24
1036,Concordia Wisconsin,,Paige Stickney,So.,"Menomonee Falls, Wis.",Menomonee Falls,,6-0,MB,3,https://www.cuwfalcons.com/sports/wvball/2023-24/bios/stickney_paige_c4rt,2023-24
1036,Concordia Wisconsin,,Lexington McKillips,Sr.,"Edgerton, Wis.",Antioch Community,,5-10,OH,4,https://www.cuwfalcons.com/sports/wvball/2023-24/bios/mckillips_lexington_u5gt,2023-24
1036,Concordia Wisconsin,,Brenna Bieniek,Jr.,"Shakopee, Minn.",Shakopee,,5-10,MB/RS,5,https://www.cuwfalcons.com/sports/wvball/2023-24/bios/bieniek_brenna_5if7,2023-24
1036,Concordia Wisconsin,,Ellie Griffiths,Jr.,"Berrien Springs, Mich.",Berrien Springs,,5-8,OH,6,https://www.cuwfalcons.com/sports/wvball/2023-24/bios/griffiths_elizabeth_h04w,2023-24
1036,Concordia Wisconsin,,Jaydin Vosters,So.,"Neenah, Wis.",St. Mary Catholic,,5-9,OH,7,https://www.cuwfalcons.com/sports/wvball/2023-24/bios/vosters_jaydin_su9b,2023-24
1036,Concordia Wisconsin,,Izzy Sternig,So.,"West Bend, Wis.",West Bend West,,5-9,S,8,https://www.cuwfalcons.com/sports/wvball/2023-24/bios/sternig_izzy_ayt4,2023-24
1036,Concordia Wisconsin,,Sierra Breuker,Fr.,"Commerce Township, Mich.",Home School,,5-6,RS,9,https://www.cuwfalcons.com/sports/wvball/2023-24/bios/breuker_sierra_tj9f,2023-24
1036,Concordia Wisconsin,,Mickenzi Benter,So.,"De Pere, Wis.",Fox Valley Lutheran,,5-9,S/RS,10,https://www.cuwfalcons.com/sports/wvball/2023-24/bios/benter_mickenzi_p7an,2023-24
1036,Concordia Wisconsin,,Rachel Frerking,Sr.,"Oconomowoc, Wis.",Lake Country Lutheran,,5-9,RS,11,https://www.cuwfalcons.com/sports/wvball/2023-24/bios/frerking_rachel_0b2y,2023-24
1036,Concordia Wisconsin,,Noelle Smith,So.,"Davenport, Iowa",Davenport Central,,5-10,MB,12,https://www.cuwfalcons.com/sports/wvball/2023-24/bios/smith_noelle_8f1e,2023-24
1036,Concordia Wisconsin,,Ashley Habermehl,So.,"Brookfield, Wis.",Brookfield East,,5-10,OH,13,https://www.cuwfalcons.com/sports/wvball/2023-24/bios/habermehl_ashley_6vnc,2023-24
1036,Concordia Wisconsin,,Chelsea Lopp,Fr.,"Racine, Wis.",Racine Case,,5-7,OH,14,https://www.cuwfalcons.com/sports/wvball/2023-24/bios/lopp_chelsea_78u8,2023-24
1036,Concordia Wisconsin,,Izzy Lutz,So.,"West Bend, Wis.",West Bend East,,5-4,DS/L,17,https://www.cuwfalcons.com/sports/wvball/2023-24/bios/lutz_isabelle_48mu,2023-24
1036,Concordia Wisconsin,,Anna Bohrer,Jr.,"Verona, Wis.",Verona,,6-1,S/RS,18,https://www.cuwfalcons.com/sports/wvball/2023-24/bios/bohrer_anna_fxam,2023-24
1036,Concordia Wisconsin,,Kate Wilson,Fr.,"Lake in the Hills, Ill.",Jacobs,,5-7,DS/L,19,https://www.cuwfalcons.com/sports/wvball/2023-24/bios/wilson_kate_09mu,2023-24
1036,Concordia Wisconsin,,Stella Zarling,So.,"West Bend, Wis.",Kettle Moraine Lutheran,,5-9,OH,21,https://www.cuwfalcons.com/sports/wvball/2023-24/bios/zarling_stella_xk3p,2023-24
1036,Concordia Wisconsin,,Abby Proefrock,So.,"Grafton, Wis.",Grafton,,5-5,DS/L,22,https://www.cuwfalcons.com/sports/wvball/2023-24/bios/proefrock_abby_uimd,2023-24
1036,Concordia Wisconsin,,Ellie Juergensen,So.,"Cedarburg, Wis.",Living Word Lutheran,,5-9,OH,23,https://www.cuwfalcons.com/sports/wvball/2023-24/bios/juergensen_ellie_x96j,2023-24
1036,Concordia Wisconsin,,Emma Essex,Jr.,"Hoffman Estates, Ill.",Hoffman Estates,,5-6,DS/L,26,https://www.cuwfalcons.com/sports/wvball/2023-24/bios/essex_emma_y8om,2023-24
1036,Concordia Wisconsin,,Lauren Rich,Sr.,"Huntley, Ill.",Huntley,,5-10,OH,28,https://www.cuwfalcons.com/sports/wvball/2023-24/bios/rich_lauren_of4t,2023-24
1036,Concordia Wisconsin,,Maycee Karpfinger,Sr.,"Wauwatosa, Wis.",Wauwatosa West,,5-11,MH,31,https://www.cuwfalcons.com/sports/wvball/2023-24/bios/karpfinger_maycee_ljg3,2023-24
1050,Defiance,,Kaylynn Wellman,Jr.,"Defiance, Ohio",Ayersville,,5-10,OPP,1,https://www.defianceathletics.com/sports/wvball/2023-24/bios/wellman_kaylynn_ykzc,2023-24
