"ncaa_id","team","player_id","name","year","hometown","homestate","high_school","previous_school_clean","height_clean","position","jersey","url","season","height_ft","height_in","total_inches","primary_position","secondary_position","position_full","year_clean","redshirt","hs_clean","hometown_clean","state_clean","country_clean"
697,"Texas A&M",11463,"Ifenna Cos-Okpalla","Sophomore","Flower Mound","Texas","Marcus",,"6'2""","Middle","1","https://www.12thman.com/sports/womens-volleyball/roster/ifenna-cos-okpalla/11463","2023",6,2,74,"MB",,"MB","Sophomore",0,"Marcus","FLOWER MOUND, TEXAS","TX","USA"
697,"Texas A&M",11473,"Ital Lopuyo","Redshirt Freshman","Omaha","Neb","Omaha Central",,"6'6""","Opposite","2","https://www.12thman.com/sports/womens-volleyball/roster/ital-lopuyo/11473","2023",6,6,78,"OPP",,"OPP","Freshman",1,"Omaha Central","OMAHA, NEB","NE","USA"
697,"Texas A&M",11467,"Lexi Guinn","Sophomore","Frisco","Texas","Frisco",,"6'0""","Outside","5","https://www.12thman.com/sports/womens-volleyball/roster/lexi-guinn/11467","2023",6,0,72,"OH",,"OH","Sophomore",0,"Frisco","FRISCO, TEXAS","TX","USA"
697,"Texas A&M",11960,"Brooke Jeffrey","Sophomore","Austin","Texas","Austin","Sacred Heart","6'1""","Outside","7","https://www.12thman.com/sports/womens-volleyball/roster/brooke-jeffrey/11960","2023",6,1,73,"OH",,"OH","Sophomore",0,"Austin","AUSTIN, TEXAS","TX","USA"
697,"Texas A&M",11469,"Lauren Hogan","Senior","Loveland","Ohio","Mount Notre Dame","Syracuse","5'4""","Libero/Defensive","8","https://www.12thman.com/sports/womens-volleyball/roster/lauren-hogan/11469","2023",5,4,64,"L","DS","L/DS","Senior",0,"Mount Notre Dame","LOVELAND, OHIO","OH","USA"
697,"Texas A&M",11472,"Logan Lednicky","Sophomore","Sugar Land","Texas","George Ranch",,"6'3""","Opposite","9","https://www.12thman.com/sports/womens-volleyball/roster/logan-lednicky/11472","2023",6,3,75,"OPP",,"OPP","Sophomore",0,"George Ranch","SUGAR LAND, TEXAS","TX","USA"
697,"Texas A&M",11958,"Margot Manning","Freshman","Houston","Texas","St. John's School",,"5'10""","Setter","10","https://www.12thman.com/sports/womens-volleyball/roster/margot-manning/11958","2023",5,10,70,"S",,"S","Freshman",0,"St. John's School","HOUSTON, TEXAS","TX","USA"
697,"Texas A&M",11462,"Nisa Buzlutepe","Junior","Istanbul","Turkey","Okyanus",,"6'2""","Setter","11","https://www.12thman.com/sports/womens-volleyball/roster/nisa-buzlutepe/11462","2023",6,2,74,"S",,"S","Junior",0,"Okyanus","ISTANBUL, TURKEY",,"TURKEY"
697,"Texas A&M",11476,"Ava Underwood","Sophomore","Fulshear","Texas","Fulshear",,"5'7""","Libero/Defensive","12","https://www.12thman.com/sports/womens-volleyball/roster/ava-underwood/11476","2023",5,7,67,"L","DS","L/DS","Sophomore",0,"Fulshear","FULSHEAR, TEXAS","TX","USA"
697,"Texas A&M",11959,"Bianna Muoneke","Freshman","Cypress","Texas","Cypress Ranch",,"6'0""","Outside","13","https://www.12thman.com/sports/womens-volleyball/roster/bianna-muoneke/11959","2023",6,0,72,"OH",,"OH","Freshman",0,"Cypress Ranch","CYPRESS, TEXAS","TX","USA"
697,"Texas A&M",11461,"Molly Brown","Redshirt Junior","Goshen","Ind","Northridge","Purdue","6'2""","Middle","14","https://www.12thman.com/sports/womens-volleyball/roster/molly-brown/11461","2023",6,2,74,"MB",,"MB","Junior",1,"Northridge","GOSHEN, IND","IN","USA"
697,"Texas A&M",11474,"Caroline Meuth","Graduate Student","San Antonio","Texas","Winston Churchill","Notre Dame","5'11""","Outside","16","https://www.12thman.com/sports/womens-volleyball/roster/caroline-meuth/11474","2023",5,11,71,"OH",,"OH","Graduate Student",0,"Winston Churchill","SAN ANTONIO, TEXAS","TX","USA"
697,"Texas A&M",11961,"Morgan Perkins","Sophomore","Rosharon","Texas","Episcopal","Oklahoma","6'1""","Middle","21","https://www.12thman.com/sports/womens-volleyball/roster/morgan-perkins/11961","2023",6,1,73,"MB",,"MB","Sophomore",0,"Episcopal","ROSHARON, TEXAS","TX","USA"
697,"Texas A&M",11962,"Alayna Pearson","Freshman","Overland Park","Kan","Blue Valley Northwest",,"5'6""","Libero/Defensive","24","https://www.12thman.com/sports/womens-volleyball/roster/alayna-pearson/11962","2023",5,6,66,"L","DS","L/DS","Freshman",0,"Blue Valley Northwest","OVERLAND PARK, KAN","KS","USA"
8,"Alabama",9508,"Micah Gryniewicz","Sophomore","Chandler","Ariz","Hamilton HS",,"6'1""","Outside","1","https://www.rolltide.com/sports/womens-volleyball/roster/micah-gryniewicz/9508","2023",6,1,73,"OH",,"OH","Sophomore",0,"Hamilton HS","CHANDLER, ARIZ","AZ","USA"
8,"Alabama",9515,"Callie Kieffer","Freshman","Prosper","Texas","Prosper HS",,"5'10""","Setter","2","https://www.rolltide.com/sports/womens-volleyball/roster/callie-kieffer/9515","2023",5,10,70,"S",,"S","Freshman",0,"Prosper HS","PROSPER, TEXAS","TX","USA"
