team,twitter,url,ncaa_id,stats_name,private,roster
Air Force,af_wbb,https://goairforcefalcons.com/sports/womens-volleyball,721,Air Force,,
Texas A&M,aggiewbb,https://12thman.com/sports/womens-volleyball,697,Texas A&M,,
Alabama,alabamawbb,https://rolltide.com/sports/womens-volleyball,8,Alabama,,
Arizona,arizonawbb,https://arizonawildcats.com/sports/womens-volleyball,29,Arizona,,
Army,armywp_wbb,https://goarmywestpoint.com/sports/womens-volleyball,725,Army West Point,,
Auburn,auburnwbb,https://auburntigers.com/sports/womens-volleyball,37,Auburn,,
Wisconsin,badgerwbb,https://uwbadgers.com/sports/womens-volleyball,796,Wisconsin,,
Baylor,BaylorWBB,https://baylorbears.com/sports/womens-volleyball,51,Baylor,,
Bellarmine,BUKnightsWBB,https://athletics.bellarmine.edu/sports/womens-volleyball,52,Bellarmine,,
Boston College,bc_wbb,https://bceagles.com/sports/womens-volleyball,67,Boston College,,
Oregon State,beaverwbb,https://osubeavers.com/sports/womens-volleyball,528,Oregon St.,,
Belmont,belmontwbb,https://belmontbruins.com/sports/womens-volleyball,14927,,,
California,calwvball,https://calbears.com/sports/womens-volleyball,107,California,,
Miami,caneswbb,https://miamihurricanes.com/sports/wvball/,415,Miami (FL),,
California Baptist,cbuwbb,https://cbulancers.com/sports/womens-volleyball,30135,California Baptist,,
Chicago State,chistatewbb,https://www.gocsucougars.com/sports/womens-volleyball,136,Chicago St.,,
Clemson,clemsonwbb,https://clemsontigers.com/sports/volleyball/,147,Clemson,,
Central Michigan,cmuwvball,https://cmuchippewas.com/sports/womens-volleyball,129,Central Mich.,,
Creighton,creightonwbb,https://gocreighton.com/sports/womens-volleyball,169,Creighton,,
Colorado,cubuffswbb,https://cubuffs.com/sports/womens-volleyball,157,Colorado,,
Coppin State,CoppinState_WBB,https://coppinstatesports.com/sports/womens-volleyball,165,Coppin St.,,
Syracuse,cusewbb,https://cuse.com/sports/womens-volleyball,688,Syracuse,,
Iowa State,cyclonewbb,https://cyclones.com/sports/womens-volleyball,311,Iowa St.,,
Dayton,daytonwbb,https://daytonflyers.com/sports/womens-volleyball,175,Dayton,,
Drake,drakewbb,https://godrakebulldogs.com/sports/womens-volleyball/,189,Drake,,
Duke,dukewbb,https://goduke.com/sports/womens-volleyball,193,Duke,,
Duquesne,duqwbb,https://goduquesne.com/sports/womens-volleyball,194,Duquesne,,
South Carolina,GamecockWBB,https://gamecocksonline.com/sports/wvball,648,South Carolina,,
Green Bay,gbphoenixwbb,https://greenbayphoenix.com/sports/womens-volleyball,794,Green Bay,,
Georgetown,georgetownwbb,https://guhoyas.com/sports/womens-volleyball,251,Georgetown,,
South Dakota State,gojackswbb,https://gojacks.com/sports/womens-volleyball,649,South Dakota St.,,
George Washington,gw_wbb,https://gwsports.com/sports/womens-volleyball,249,George Washington,,
Mississippi State,HailStateWBK,https://hailstate.com/sports/womens-volleyball,430,Mississippi St.,,
Virginia Tech,hokieswbb,https://hokiesports.com/sports/womens-volleyball,742,Virginia Tech,,
Nebraska,huskerswbb,https://huskers.com/sports/volleyball,463,Nebraska,,
Illinois,illiniwbb,https://fightingillini.com/sports/womens-volleyball,301,Illinois,,
Indiana,indianawbb,https://iuhoosiers.com/sports/womens-volleyball,306,Indiana,,
Iona,ionawbb,https://ionagaels.com/sports/womens-volleyball,310,Iona,,
Iowa,iowawbb,https://hawkeyesports.com/sports/wvball,312,Iowa,,
Kentucky,kentuckywbb,https://ukathletics.com/sports/wvball,334,Kentucky,,
Kansas State,kstatewbb,https://www.kstatesports.com/sports/womens-volleyball,327,Kansas St.,,
Hampton,ladypirateswbb,https://hamptonpirates.com/sports/womens-volleyball,270,Hampton University,,
Tennessee,LadyVol_Hoops,https://utsports.com/sports/womens-volleyball,694,Tennessee,,
LaSalle,lasalle_wbb,https://goexplorers.com/sports/womens-volleyball,340,La Salle,,
Manhattan,manhattan_wbb,https://gojaspers.com/sports/womens-volleyball,381,Manhattan,,
