hometown,country,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
"Mills River, N.C.",USA,35.383198,-82.626096,1,street_center,,"Mills River Way",,,"Horse Shoe",NC,"Henderson County",28742,US,"TIGER/Line® dataset from the US Census Bureau"
"Las Cruces, N.M.",USA,32.31073,-106.782148,0.9,street_center,,"W Las Cruces Ave",,,"Las Cruces",NM,"Doña Ana County",88005,US,"TIGER/Line® dataset from the US Census Bureau"
"Peoria, Ariz.",USA,32.43194,-83.722649,0.75,place,,,,,Perry,GA,"Houston County",31069,US,"TIGER/Line® dataset from the US Census Bureau"
"Fletcher, N.C.",USA,35.407122,-82.496451,0.9,street_center,,"Fletcher View Dr",,,Fletcher,NC,"Henderson County",28732,US,"TIGER/Line® dataset from the US Census Bureau"
"McHenry, Ill.",USA,42.318984,-88.443886,0.9,street_center,,"McHenry Ave",,,Woodstock,IL,"McHenry County",60098,US,"TIGER/Line® dataset from the US Census Bureau"
"Blythewood, S.C.",USA,34.213247,-80.999317,1,street_center,,"Blythewood Rd",,,Blythewood,SC,"Richland County",29016,US,"TIGER/Line® dataset from the US Census Bureau"
"Eagan, Minn.",USA,0,0,0,,,,,,,,,,,
"Watertown, Minn.",USA,0,0,0,,,,,,,,,,,
"Stoneville, N.C.",USA,36.466883,-79.912823,0.5,place,,,,,Stoneville,NC,"Rockingham County",27048,US,"TIGER/Line® dataset from the US Census Bureau"
"Minneapolis, Minn.",USA,0,0,0,,,,,,,,,,,
"Dayton, Minn.",USA,0,0,0,,,,,,,,,,,
"Aiken, SC",USA,33.649034,-81.366626,1,street_center,,"Aiken Rd",,,Aiken,SC,"Aiken County",29801,US,"TIGER/Line® dataset from the US Census Bureau"
"Coral Springs, FL",USA,26.266611,-80.266147,1,street_center,,"Coral Springs Dr",,,"Pompano Beach",FL,"Broward County",33065,US,"TIGER/Line® dataset from the US Census Bureau"
"Sellersburg, IN",USA,38.404577,-85.787963,1,place,,,,,Sellersburg,IN,"Clark County",47172,US,"TIGER/Line® dataset from the US Census Bureau"
"Louisville, KY",USA,38.19038,-85.757476,1,street_center,,"Louisville Ave",,,Louisville,KY,"Jefferson County",40209,US,"TIGER/Line® dataset from the US Census Bureau"
"New Albany, IN",USA,38.307183,-85.841639,1,street_center,,"New Albany Plz",,,"New Albany",IN,"Floyd County",47150,US,"TIGER/Line® dataset from the US Census Bureau"
"Benton, KY",USA,37.005624,-88.530429,0.9,street_center,,"Benton Rd",,,Paducah,KY,"McCracken County",42003,US,"TIGER/Line® dataset from the US Census Bureau"
"Cincinnati, OH",USA,39.288507,-84.350693,1,street_center,,"Cincinnati Ave",,,Cincinnati,OH,"Hamilton County",45249,US,"TIGER/Line® dataset from the US Census Bureau"
"Loogootee, IN",USA,38.771691,-86.912985,0.5,place,,,,,Loogootee,IN,"Martin County",47553,US,"TIGER/Line® dataset from the US Census Bureau"
"Troy, OH",USA,40.046782,-84.195699,1,street_center,,"Troy St",,,Troy,OH,"Miami County",45373,US,"TIGER/Line® dataset from the US Census Bureau"
"Georgetown, KY",USA,38.239718,-84.574498,0.5,place,,,,,Georgetown,KY,"Scott County",40324,US,"TIGER/Line® dataset from the US Census Bureau"
"DeWitt, MI",USA,42.915445,-84.581483,0.9,street_center,,"S Dewitt Rd",,,Dewitt,MI,"Clinton County",48820,US,"TIGER/Line® dataset from the US Census Bureau"
"Glen Ellyn, IL",USA,41.880518,-88.063294,1,street_center,,"Glen Ellyn Pl",,,"Glen Ellyn",IL,"Dupage County",60137,US,"TIGER/Line® dataset from the US Census Bureau"
"Muncie, IN",USA,40.22249,-85.36478,1,street_center,,"Muncie Byp",,,Muncie,IN,"Delaware County",47303,US,"TIGER/Line® dataset from the US Census Bureau"
"Charlotte, N.C.",USA,35.198282,-80.849366,1,street_center,,"Charlotte Dr",,,Charlotte,NC,"Mecklenburg County",28203,US,"TIGER/Line® dataset from the US Census Bureau"
"LaSalle, Ill.",USA,41.367693,-89.118482,1,street_center,,"Lasalle Rd",,,Lasalle,IL,"Lasalle County",61301,US,"TIGER/Line® dataset from the US Census Bureau"
"Kenyon, Minn.",USA,0,0,0,,,,,,,,,,,
"Wilson, N.C.",USA,35.717596,-77.92278,0.9,street_center,,"Wilson St SW",,,Wilson,NC,"Wilson County",27893,US,"TIGER/Line® dataset from the US Census Bureau"
"Wayzata, Minn.",USA,0,0,0,,,,,,,,,,,
"Beaumont, CA",USA,33.934774,-116.977025,1,street_center,,"Beaumont Ave",,,Beaumont,CA,"Riverside County",92223,US,"TIGER/Line® dataset from the US Census Bureau"
