School,Name,Position,Class,Height,Hometown,High School
Air Force,Savanah Johnson,RS,So.,5' 9'',"Chula Vista, Calif.",Eastlake
Air Force,Amber Soto,S,Sr.,6' 0'',"El Paso, Texas",Chapin
Air Force,Murphy Riggs,DS/L,Jr.,5' 4'',"High Point, N.C.",Southwest Guilford
Air Force,Alex Hatchett,MB/OPP,So.,5' 11'',"Raleigh, N.C.",Cardinal Gibbons
Air Force,Rory Powers,DS/L,Fr.,5' 6'',"Muncie, Ind.",Yorktown
Air Force,Aaryn Scires,MB/OPP,Sr.,5' 11'',"Fairfield, Texas",Fairfield
Air Force,Ashley Bible,OH,So.,5' 9'',"Sebring, Fla.",Sebring
Air Force,Caroline Reinkensmeyer,S,Sr.,5' 10'',"Highlands Ranch, Colo.",Valor Christian
Air Force,Lauren Klingenberg,OH,Fr.,5' 10'',"Winter Springs, Fla.",Winter Springs
Air Force,Sophia Dasilva,DS/L,Fr.,5' 7'',"Boca Raton, Fla.",Boca
Air Force,Annamaria Ramos,OH,Fr.,5' 9'',"Henderson, Nev.",Basic Academy
Air Force,Ella Tschuor,OH,Jr.,6' 2'',"Littleton, Colo.",Chatfield Senior
Air Force,Ellie Eichhorn,S,Jr.,5' 11'',"Sacramento, Calif.",St. Francis Catholic
Air Force,Greta Hans,S,So.,5' 8'',"Marietta, Ga.",Walton
Air Force,Joi Harvey,MB,Sr.,6' 4'',"Goodyear, Ariz.",Desert Edge
Air Force,Mekayla Dedo,OH,Jr.,5' 10'',"Pittsburgh, Pa.",Hempfield Area
Air Force,Anna Leahy,OPP,Fr.,6' 4'',"Charlotte, N.C.",Myers Park
Air Force,Jordan Suan,DS/L,So.,5' 4'',"Gilbert, Ariz.",Perry
Air Force,Savannah Neal,OPP,Sr.,5' 10'',"Louisville, Ky.",Assumption
Air Force,Mac Russ,MB,Jr.,6' 0'',"Waxhaw, N.C.",Marvin Ridge
Texas A&M,Ifenna Cos-Okpalla,Middle Blocker,So.,,"Flower Mound, Texas",Marcus
Texas A&M,Ital Lopuyo,Opposite Hitter,R-Fr.,,"Omaha, Neb.",Omaha Central
Texas A&M,Lexi Guinn,Outside Hitter,So.,,"Frisco, Texas",Frisco
Texas A&M,Brooke Jeffrey,Outside Hitter,So.,,"Austin, Texas",Austin
Texas A&M,Lauren Hogan,Libero/Defensive Specialist,Sr.,,"Loveland, Ohio",Mount Notre Dame
Texas A&M,Logan Lednicky,Opposite Hitter,So.,,"Sugar Land, Texas",George Ranch
Texas A&M,Margot Manning,Setter,Fr.,,"Houston, Texas",St. John's School
Texas A&M,Nisa Buzlutepe,Setter,Jr.,,"Istanbul, Turkey",Okyanus
Texas A&M,Ava Underwood,Libero/Defensive Specialist,So.,,"Fulshear, Texas",Fulshear
Texas A&M,Bianna Muoneke,Outside Hitter,Fr.,,"Cypress, Texas",Cypress Ranch
Texas A&M,Molly Brown,Middle Blocker,R-Jr.,,"Goshen, Ind.",Northridge
Texas A&M,Caroline Meuth,Outside Hitter,Gr.,,"San Antonio, Texas",Winston Churchill
Texas A&M,Morgan Perkins,Middle Blocker,So.,,"Rosharon, Texas",Episcopal
Texas A&M,Alayna Pearson,Libero/Defensive Specialist,Fr.,,"Overland Park, Kan.",Blue Valley Northwest
Alabama,Micah Gryniewicz,Outside Hitter,So.,,"Chandler, Ariz.",Hamilton HS
Alabama,Callie Kieffer,Setter,Fr.,,"Prosper, Texas",Prosper HS
Alabama,Allison Berent,Libero/Defensive Specialist,Fr.,,"Rochester Hills, Mich.",Notre Dame Prepatory
Alabama,Jordyn Towns,Middle Blocker,Fr.,,"Loganville, Ga.",Loganville Christian Academy
Alabama,Sydney Gholson,Libero/Defensive Specialist,Jr.,,"Keller, Texas",Keller HS
Alabama,Victoria Schmer,L/DS,Sr.,,"Chelsea, Ala.",Chelsea HS
Alabama,Sami Jacobs,Outside Hitter,Jr.,,"Prosper, Texas",Prosper HS
Alabama,Malia Moore,Defensive Specialist,Jr.,,"Mills River, N.C.",West Henderson HS
Alabama,Kaleigh Palmer,Outside Hitter,Fr.,,"Wapakoneta, Ohio",Wapakoneta HS
Alabama,Gabbi LeBlanc,Setter,Fr.,,"Phoenix, Ariz.",Desert Vista HS
Alabama,Alyiah Wells,Middle Blocker,Gr.,,"Memphis, Tenn.",Briarcrest Christian School
Alabama,Lily Hopkins,Libero/Defensive Specialist,Fr.,,"Tomball, Texas",Tomball HS
Alabama,Kendyl Reaugh,OH,Sr.,,"Highland Park, Texas",Highland Park HS
Alabama,Francesca Bertucci,Libero/Defensive Specialist,Jr.,,"Chicago, Ill.",De La Salle HS
Alabama,Kyla Dunaway,Outside Hitter,Fr.,,"Kimberly, Wisc.",Kimberly HS
Alabama,Chaise Campbell,MB,Sr.,,"St. Petersburg, Fla.",Shorecrest Prepatory School
Arizona,Sydnie Vanek,Outside Hitter,Fr.,,"Clovis, Calif.",Clovis H.S.
Arizona,Sofia Maldonado Diaz,Outside Hitter,Sr.,,"Guadalajara, Jalisco, Mexico",Cervantes Loma Bonita
Arizona,Ania Swartzendruber,Libero/Defensive Specialist,Fr.,,"Parker, Colo.",Legend H.S.
Arizona,Kasen Rosenthal,Setter,So.,,"Austin, Texas",Austin H.S.
Arizona,Jordan Wilson,Outside Hitter,So.,,"Gilbert, Ariz.",Hamilton H.S.
Arizona,Tess Fuqua,Outside Hitter,Fr.,,"Las Cruces, N.M.",Centennial H.S.
Arizona,Ana Heath,Setter,So.,,"Murphy, Texas",Wylie H.S.
Arizona,Haven Wray,Libero/Defensive Specialist,Jr.,,"Peoria, Ariz.",Sunrise Mountain H.S.
Arizona,Jaelyn Hodge,Outside Hitter,Sr.,,"Queen Creek, Ariz.",Basha H.S.
Arizona,Joy Galles,Defensive Specialist,Sr.,,"Truckee, Calif.",Tahoe Truckee H.S.
Arizona,Ava Tortorello,Defensive Specialist,Jr.,,"Chicago, Ill.",Latin School of Chicago
Arizona,Giorgia Mandotti,Libero/Defensive Specialist,Fr.,,"Milan, Italy",Liceo Virgilio Milano
Army,Diana Ethridge,Setter,Jr.,,"Chandler, Ariz.",Hamilton
Army,Ellia Sechrist,Outside Hitter,Fr.,,White Lake Mich.,Walled Lake Central (USMAPS)
Army,Juliette Myrick,Setter,Fr.,,"St. Louis, Mo.",Eureka High School
Army,Kuranda Ruggiero,Setter,Fr.,,"Griswold, Conn.",Griswold High School
Army,Riley Parchment,Libero,Sr.,,"Kensington, Md.",The Academy of the Holy Cross
Army,Paige Fixemer,Middle Blocker,Sr.,,"Omaha, Neb.",Millard South
Army,Allanah Cutler,Opposite Hitter,Sr.,,"Long Beach, Calif.",Long Beach Polytechnic
Army,Ashli Alcala-Romero,Libero,So.,,"Honolulu, Hawaii",Maryknoll
Army,Mackenzie Lynch,Outside Hitter,So.,,"Fletcher, N.C.",T.C. Roberson
Army,Alyssa  Lukasik,Middle Blocker,Sr.,,"Mulberry, Ind.",Clinton Prairie
Army,Isabella Sullivan,Setter,Sr.,,"San Antonio, Texas",Keystone
Army,Brooke Middleton,Middle Blocker,So.,,"Fresno, Texas",St. Agnes Academy (USMAPS)
Army,Chloe Murakami,Outside Hitter,So.,,"Chandler, Ariz.",Basha
Army,Mackenzie Karnig,Outside Hitter,Sr.,,"Carlsbad, Calif.",Carlsbad
Army,Norah Shattan,Outside Hitter,So.,,"New Canaan, Conn.",King School
Army,Julia Johnson,Outside Hitter,Jr.,,"McHenry, Ill.",Huntley
Army,Kai Nickerson,Outside Hitter,Sr.,,"Los Angeles, Calif.",Rolling Hills Preparatory
Army,Savannah Bray,Outside Hitter,Sr.,,"Woodstock, Ga.",Etowah
Army,Addy Frye,Outside Hitter/Defensive Specialist,Fr.,,"Zionsville, Ind.",Traders Point Christian High School
Army,Kingsley Wallace,Opposite Hitter,Jr.,,"Houston, Texas",Memorial Senior
Auburn,Madison Scheer,Pin Hitter,So.,,"Eureka, Mo.",Eureka
Auburn,Sarah Morton,Libero,So.,,"Munster, Ind.",Munster
Auburn,Akasha Anderson,Pin Hitter,So.,,"Reston, Va.",Herndon
Auburn,Fallan Lanham,Libero,Jr.,,"Louisville, Ky.",Mercy Academy
Auburn,Bella Bell,Middle Blocker,Sr.,,"Blythewood, S.C.",Blythewood
Auburn,Kyla Swanson,Middle Blocker,Gr.,,"Wahoo, Neb.",Wahoo
Auburn,Peyton Dunn,Setter,R-So.,,"Decatur, Texas",Legend
Auburn,Kendal  Kemp,Middle Blocker,So.,,"Eagan, Minn.",Eagan
Auburn,Zoe Slaughter,Libero,So.,,"Honolulu, Hawaii",Moanalua
Auburn,Jackie Barrett,Setter,Sr.,,"Highland, Calif.",Citrus Valley
Auburn,Jordan Sinness,Setter,Jr.,,"Sebring, Fla.",Sebring
Auburn,Bel Zimmerman,Pin Hitter,So.,,"Liberty, Mo.",Liberty North
Auburn,Paige Thibault,Libero,Jr.,,"Watertown, Minn.",Watertown-Mayer
Auburn,Chelsey Harmon,Middle Blocker,Sr.,,"Puyallup, Wash.",Gov. John R. Rogers High School
Auburn,Cassidy Tanton,Pin Hitter,R-So.,,"Stoneville, N.C.",Dalton McMichael
Auburn,Jasmine Okeoma,Middle Blocker,Fr.,,"Woodbridge, Va.",Forest Park
Auburn,Sydney Handel,Libero,So.,,"Lee's Summit, Mo.",Lee's Summit West
Auburn,Lakin Laurendine,Pin Hitter,Fr.,,"Jackson, Miss.",Jackson Academy
Wisconsin,Sydney Reed,Libero,Sr.,,"Glenelg, Md.",Flint Hill
Wisconsin,Joslyn Boyer,Libero,Gr.,,"Downers Grove, Ill.",Montini Catholic
Wisconsin,Saige Damrow,Libero,Fr.,,"Howards Grove, Wis.",Howards Grove
