team,ncaa_id,team_state,conference,division
Air Force,721,CO,Mountain West,I
Texas A&M,697,TX,SEC,I
Alabama,8,AL,SEC,I
Arizona,29,AZ,Pac-12,I
Army,725,NY,Patriot,I
Auburn,37,AL,SEC,I
Wisconsin,796,WI,Big Ten,I
Baylor,51,TX,Big 12,I
Bellarmine,52,KY,ASUN,I
Boston College,67,MA,ACC,I
Oregon State,528,OR,Pac-12,I
Belmont,14927,TN,MVC,I
California,107,CA,Pac-12,I
Miami,415,FL,ACC,I
California Baptist,30135,CA,WAC,I
Chicago State,136,IL,DI Independent,I
Clemson,147,SC,ACC,I
Central Michigan,129,MI,MAC,I
Creighton,169,NE,Big East,I
Colorado,157,CO,Pac-12,I
Coppin State,165,MD,MEAC,I
Syracuse,688,NY,ACC,I
Iowa State,311,IA,Big 12,I
Dayton,175,OH,Atlantic 10,I
Drake,189,IA,MVC,I
Duke,193,NC,ACC,I
Duquesne,194,PA,Atlantic 10,I
South Carolina,648,SC,SEC,I
Green Bay,794,WI,Horizon,I
Georgetown,251,DC,Big East,I
South Dakota State,649,SD,Summit League,I
George Washington,249,DC,Atlantic 10,I
Mississippi State,430,MS,SEC,I
Virginia Tech,742,VA,ACC,I
Nebraska,463,NE,Big Ten,I
Illinois,301,IL,Big Ten,I
Indiana,306,IN,Big Ten,I
Iona,310,NY,MAAC,I
Iowa,312,IA,Big Ten,I
Kentucky,334,KY,SEC,I
Kansas State,327,KS,Big 12,I
Hampton,270,VA,CAA,I
Tennessee,694,TN,SEC,I
LaSalle,340,PA,Atlantic 10,I
Manhattan,381,NY,MAAC,I
Marquette,387,WI,Big East,I
Memphis,404,TN,AAC,I
Mercer,406,NJ,SoCon,I
Missouri,434,MO,SEC,I
Middle Tennessee,419,TN,C-USA,I
Northern Arizona,501,AZ,Big Sky,I
Notre Dame,513,IN,ACC,I
Nevada,466,NV,Mountain West,I
Villanova,739,PA,Big East,I
Southeast Missouri State,654,MO,OVC,I
Oregon,529,OR,Pac-12,I
